tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0016481	Variety	Varieté	1925	104	Crime,Drama,Romance	7.4	1272
tt0016544	The Wizard of Oz	The Wizard of Oz	1925	95	Adventure,Comedy,Family	4.9	1664
tt0016627	Bardelys the Magnificent	Bardelys the Magnificent	1926	90	Drama,Romance	7.1	1235
tt0016630	Battling Butler	Battling Butler	1926	77	Comedy,Sport	7.0	3561
tt0016641	Ben-Hur: A Tale of the Christ	Ben-Hur A Tale of the Christ	1925	143	Action,Adventure,Drama	7.8	7734
tt0016654	The Black Pirate	The Black Pirate	1926	88	Action,Adventure	7.0	1983
tt0016669	La Bohème	La Bohème	1926	95	Drama,Romance	7.2	1618
tt0016690	Brown of Harvard	Brown of Harvard	1926	85	Action,Drama,Romance	6.3	1506
tt0016822	Ella Cinders	Ella Cinders	1926	75	Comedy,Music,Romance	7.0	1048
tt0016847	Faust	Faust: Eine deutsche Volkssage	1926	107	Drama,Fantasy,Horror	8.1	15732
tt0016884	Flesh and the Devil	Flesh and the Devil	1926	112	Drama,Music	7.6	4413
tt0016895	For Heaven's Sake	For Heaven's Sake	1926	58	Action,Comedy,Romance	7.5	1787
tt0017048	A Page of Madness	Kurutta ippêji	1926	70	Drama,Horror,Thriller	7.4	4002
tt0017075	The Lodger: A Story of the London Fog	The Lodger: A Story of the London Fog	1927	92	Crime,Drama,Mystery	7.3	12443
tt0017128	Mother	Mat	1926	89	Drama	7.5	2928
tt0017136	Metropolis	Metropolis	1927	153	Drama,Sci-Fi	8.3	176754
tt0017271	By the Law	Po zakonu	1926	80	Action,Drama,Mystery	7.6	1147
tt0017350	The Scarlet Letter	The Scarlet Letter	1926	115	Drama	7.6	1869
tt0017416	The Son of the Sheik	The Son of the Sheik	1926	68	Adventure,Drama,Romance	6.6	2030
tt0017423	Sparrows	Sparrows	1926	109	Drama	7.4	1398
tt0017448	Tartuffe	Herr Tartüff	1925	74	Comedy,Drama	7.1	2582
tt0017449	The Temptress	The Temptress	1926	62	Drama,Romance	6.9	1281
tt0017463	3 Bad Men	3 Bad Men	1926	92	Romance,Western	7.5	1374
tt0017534	West Point	West Point	1927	95	Drama,Romance,Sport	6.6	1936
tt0017668	Berlin: Symphony of a Great City	Berlin - Die Sinfonie der Großstadt	1927	65	Documentary	7.6	4545
tt0017739	The Cat and the Canary	The Cat and the Canary	1927	108	Comedy,Horror,Mystery	7.1	3121
tt0017743	Chang: A Drama of the Wilderness	Chang: A Drama of the Wilderness	1927	69	Adventure,Documentary,Drama	6.9	1035
tt0017765	College	College	1927	66	Comedy,Drama,Sport	7.0	5061
tt0017825	When Boys Leave Home	Downhill	1927	80	Adventure,Drama,Thriller	6.0	2779
tt0017843	Easy Virtue	Easy Virtue	1927	80	Romance,Thriller	5.5	2901
tt0017925	The General	The General	1926	67	Action,Adventure,Comedy	8.1	92991
tt0017961	Happiness	Schaste	1935	95	Comedy,Drama	7.3	1150
tt0018033	It	It	1927	72	Comedy,Romance	7.2	3358
tt0018037	The Jazz Singer	The Jazz Singer	1927	88	Drama,Music,Musical	6.4	10419
tt0018051	The Kid Brother	The Kid Brother	1927	82	Comedy,Drama,Family	7.6	4552
tt0018054	The King of Kings	The King of Kings	1927	160	Biography,Drama,Family	7.4	2245
tt0018066	The End of St. Petersburg	Konets Sankt-Peterburga	1927	85	Drama	7.3	1773
tt0018097	London After Midnight	London After Midnight	1927	69	Horror	6.7	1404
tt0018107	Love	Love	1927	82	Drama,Romance	6.9	1104
tt0018192	Napoleon	Napoléon vu par Abel Gance	1927	330	Biography,Drama,History	8.2	8070
tt0018217	October (Ten Days that Shook the World)	Oktyabr	1927	142	Drama,History	7.4	8082
tt0018311	The Red Mill	The Red Mill	1927	74	Comedy,Romance	6.8	1474
tt0018328	The Ring	The Ring	1927	116	Drama,Romance,Sport	6.1	3734
tt0018379	7th Heaven	7th Heaven	1927	110	Drama,Romance	7.6	3811
tt0018440	Spring Fever	Spring Fever	1927	78	Comedy	6.5	1015
tt0018451	The Student Prince in Old Heidelberg	The Student Prince in Old Heidelberg	1927	106	Drama,Romance	7.6	1551
tt0018455	Sunrise	Sunrise: A Song of Two Humans	1927	94	Drama,Romance	8.1	51861
tt0018471	Tell It to the Marines	Tell It to the Marines	1926	103	Comedy,Drama,Romance	7.1	1587
